Articulo,Desc_Articulo,Familia
RM00010822,TAPA ROSCA PEAD 56 BC  BLANCA CAJA 7.5 GR,TAPAS Y ASAS
RM00000574,SERVICIO DE ENTREGA,SERVICIOS
RM00010473,BOTELLA PET 500 ML 26 BC MOD 500-26 TRANSPARENTE 11.5 GR,BOTELLAS SOPLADAS
RM00010176,TAPA ROSCA PEAD 28 BC BLANCA BOLSA 1.8 GR,TAPAS Y ASAS
RM00010650,TAPA ROSCA #26 SC CNS BLANCA,REVENTA
RM00010495,GARRAFON PET 20 L 56 MM ROSA CON ASA ROSA PASTEL 740 GR,GARRAFON PET
RM00010808,TAPA ROSCA PEAD 38 BC NATURAL C/LINER 2.5 GR,TAPAS Y ASAS
RM00010810,GARRAFA PEAD DE 3.785 L 38 MM VERDE AGUAMARINA 130 GR,GARRAFAS PEAD
RM00010809,GARRAFA PEAD 3.785 L 38 MM NATURAL 130 GR,GARRAFAS PEAD
RM00010115,GARRAFON PET 20 L 56 MM AZUL CON ASA AZUL 740 GR,GARRAFON PET
RM00010496,BOTELLA PET 500 ML 28 BC MOD 500-45 AZUL COBALTO 15.5 GR,BOTELLAS Y FRASCOS
RM00010175,TAPA ROSCA PEAD 28 BC AZUL MARINO BOLSA 1.8 GR,TAPAS Y ASAS
RM00010224,GARRAFA PET 3.785 L 48 MM MOD CUADRADA CON ASA BLANCA TRANSPARENTE 80 GR,GARRAFAS PET
RM00010283,TAPA ROSCA PEAD 48 BC BLANCA BOLSA 5.5 GR,TAPAS Y ASAS
RM00010788,BOTELLA PET 1000 ML 28 BC MOD 1000-80 TRANSPARENTE 24.5 GR S,BOTELLAS SOPLADAS
RM00010173,TAPA ROSCA PEAD 28 BC AMARILLO BOLSA 1.8 GR,TAPAS Y ASAS
RM00010201,ASA 48 MM BLANCA P/GARRAFA 7 GR,TAPAS Y ASAS
RM00010861,GARRAFA PET 5LT 80GR TRANSPARENTE SIN ASA REMSA,GARRAFAS PET
RM00010234,GARRAFA PET 5 L 48 MM MOD CUADRADA CON ASA BLANCA TRANSPARENTE 80 GR,GARRAFAS PET
RM00010547,BOTELLA PET 1000 ML 28 BC MOD 1000-43 TRANSPARENTE 32 GR,BOTELLAS Y FRASCOS
RM00010839,GARRAFON PET 20 L 56 MM MOD. ELECTRON AZUL CON ASA BLANCA 740 GR,GARRAFON PET
RM00010427,BOTELLA PET 1000 ML 26 BC MOD 1000-26 TRANSPARENTE 18.5 G,BOTELLAS SOPLADAS
RM00010210,BOTELLA PET 148 ML 28 BL MOD. 148-24 TRANSPARENTE 19 GR,BOTELLAS Y FRASCOS
RM00010640,TAPA ROSCA #24 FLIP TOP HABANERA NARANJA DKL,REVENTA
RM00010268,TAPA ROSCA PEAD 56 BC BLANCO ELECTRON C/LINER ESPUMADO BOLSA 7.5 GR,TAPAS Y ASAS
RM00010613,TAPA ROSCA PEAD 48MM 5.5GR BLANCA CAJA,TAPAS Y ASAS
RM00010013,BOTELLA PET 250 ML 28 BC MOD. JUGOS TRANSPARENTE 15 GR I,BOTELLAS Y FRASCOS
RM00010045,BOTELLA PET 500 ML 28 BL MOD 500-BOSTON LISA TRANSPARENTE 24 GR,BOTELLAS Y FRASCOS
RM00010855,GARRAFA PET 6 L 48 MM MOD CUADRADA SIN ASA TRANSPARENTE 86 GR,GARRAFAS PET
RM00010846,BOTELLA PET 980 ML 28 BL MOD. LICORERA TRANSPARENTE 54 GR,GARRAFAS PET
RM00010015,BOTELLA PET 350 ML 28 BC MOD. 350-16 TRANSPARENTE 15 GR,BOTELLAS Y FRASCOS
RM00010807,TAPA ROSCA PEAD 38 BC ROJA C/LINER 2.5 GR,TAPAS Y ASAS
RM00010288,TAPA ROSCA PEAD 38 BC AZUL OBSCURO C/LINER ESPUMADO BOLSA 2.5 GR,TAPAS Y ASAS
RM00010290,TAPA ROSCA PEAD 38 BC BLANCA C/LINER ESPUMADO BOLSA 2.5 GR,TAPAS Y ASAS
RM00010207,BOTELLA PET 1000 ML 28 BC MOD 1000-78 TRANSPARENTE 24.5 GR,BOTELLAS Y FRASCOS
RM00010708,GARRAFA PEAD 2 L 38 MM BLANCA 80GR,GARRAFAS PEAD
RM00010138,GARRAFA PEAD 3.785 L 38 MM NATURAL 90 GR,GARRAFAS PEAD
RM00010814,GARRAFA PET 6 L 48 MM MOD CUADRADA SIN ASA TRANSPARENTE 80 GR,GARRAFAS PET
RM00010765,BOTELLA PET 2 L 28 BL MOD. FONDO PLANO HORCHATA BOPP TRANSPARENTE 52 GR,ETIQUETADO ALFIL
RM00010043,BOTELLA PET 250 ML 28 BC MOD. 250-63 FRASCO TRANSPARENTE 19 GR,BOTELLAS Y FRASCOS
RM00010223,BOTELLA PET 750 ML 28 BC MOD LICORES TRANSPARENTE 24.5 GR,BOTELLAS Y FRASCOS
RM00010782,BOTELLA PET 500 ML 28 BC MOD 500-43 TRANSPARENTE 15.5 GR S,BOTELLAS SOPLADAS
RM00010230,GARRAFA PEAD 1.893 L 38 MM MOD. MEDIO GALON NATURAL 55GR,GARRAFAS PEAD
RM00010842,BOTELLA PET 980 ML 28 BL MOD. 980 TRANSPARENTE 40 GR S,BOTELLAS SOPLADAS
BONIFICACION,BONIFICACION POR NOTA DE CREDITO,BONIFICACION
RM00010053,BOTELLA PET 980 ML 28 BL MOD. 980 TRANSPARENTE 41 GR I,BOTELLAS Y FRASCOS
RM00010481,GARRAFON PET 20 L 56 MM AGUAMAR CON ASA AGUAMAR 740 GR,GARRAFON PET
RM00010477,BOTELLA PET 250 ML 28 BC MOD. JUGOS TRANSPARENTE 15.5 GR S,BOTELLAS SOPLADAS
RM00010494,GARRAFON PET 20 L 56 MM TRANSPARENTE CON ASA AZUL GENERICO 740 GR,GARRAFON PET
RM00010504,BOTELLA PET 500 ML 28 BC MOD 500-45 ZETA AZUL  15.5 GR,ETIQUETADO AOKI
RM00010545,BOTELLA PET 1000 ML 28 BL MOD 1000-80 ZETA AZUL 24.5 GR,ETIQUETADO AOKI
RM00010777,BOTELLA PET 500 ML 28 BC MOD 500-45 TRANSPARENTE 15.5 GR S,BOTELLAS SOPLADAS
RM00010017,BOTELLA PET 500 ML 28 BC MOD 500-TORNADO TRANSPARENTE 15 GR,BOTELLAS Y FRASCOS
RM00010718,GARRAFON PET 20 L 56 MM MOD. JUNGHANNS AZUL CON ASA AZUL 740 GR,GARRAFON PET
RM00010327,TAPA ROSCA PEAD 56 BC BLANCA LE 7.5 GR,TAPAS Y ASAS
RM00010783,BOTELLA PET 500 ML 28 BC MOD TORNADO TRANSPARENTE 15.5 GR,BOTELLAS SOPLADAS
RM00010097,BOTELLA PET 1000 ML 28 BC MOD 1000-LICORES TRANSPARENTE 33.5 GR,BOTELLAS Y FRASCOS
RM00010178,TAPA ROSCA PEAD 28 BC ROJA BOLSA 1.8 GR,TAPAS Y ASAS
RM00000040,BOTELLA PET 250 ML 28 BC MOD CAMPANA TRANSPARENTE 17 GR,BOTELLAS SOPLADAS
RM00010860,BOTELLA PET 1000 ML 28 BL MOD  BOSTON LISA TRANSPARENTE 37 GR,BOTELLAS SOPLADAS
RM00010286,TAPA ROSCA PEAD 56 BC  AZUL GENERICO BOLSA 7.5 GR,TAPAS Y ASAS
RM00010829,TAPA ROSCA PEAD 56 BC AZUL GENERICO BOLSA C/LINER ESPUMADO 7.5 GR,TAPAS Y ASAS
RM00010468,BOTELLA PET 1000 ML 28 BC MOD 1000-50 TRANSPARENTE 15.5 GR,BOTELLAS SOPLADAS
RM00010631,BOTELLA PET 250ML MOD.ADEREZOS,REVENTA
RM00010632,BOTELLA PET 355ML MOD.ADEREZOS,REVENTA
RM00010633,BOTELLA PET 500ML MOD ADEREZOS,REVENTA
RM00010036,BOTELLA PET 2 L 28 BL MOD. FONDO PLANO JAMAICA BOPP TRANSPARENTE 52 GR,ETIQUETADO ALFIL
