Numero_Cliente,Familia_Comercial,Cadena_Comercial,Rama,Tipo,Mov,MovId,SKU,Articulo,lll,Propiedades,Cantidad,UM,CantidadSecundaria,UMSecundaria,FactorLitros,Precio,SubTotal,DescuentoLineal,IVA,IEPS,IEPS_Cuota,ImporteTotal,Costo_Unitario,Costo_Total,CostoProduccionUnitario,CostoProduccion,Sucursal,FechaEmision,FechaRequerida,Almacen
777,MAYORISTAS,MAYORISTAS,CLME,Exportacion,Factura Com.Ext33,FCREM6,10822,RM00010822,---,---,16800,PZA,16.8,MILL,0,0.5814,9767.7408,0,0,0,0,9767.7408,0.4045,6796.3762,0.3491,5864.88,60,44235,44235,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM1,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44236,44236,REM04
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM9,10473,RM00010473,---,---,26208,PZA,0,,0,0.68,17821.44,0,0,0,0,17821.44,0.3963,10386.2304,0,0,60,44237,44237,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM10,10176,RM00010176,---,---,20000,PZA,20,MILL,0,0.1475,2950.6,0,0,0,0,2950.6,0.084,1679.812,0.0548,1096,60,44237,44236,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM10,10650,RM00010650,---,---,32000,PZA,32,MILL,0,0.11,3520,0,0,0,0,3520,0.095,3040,0.11,3520,60,44237,44236,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM3,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44238,44238,REM04
851,OTROS,OTROS,CLNA,Cliente,Factura,FREM5,10495,RM00010495,---,---,484,PZA,0,,0,47.4,22941.6,0,3670.656,0,0,26612.256,36.1071,17475.8364,0,0,60,44238,44236,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM2,574,RM00000574,---,---,1,SR,0,,0,3250,3250,0,520,0,0,3770,0,0,0,0,60,44238,44236,REM04
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM8,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44239,44239,REM04
888,OTROS,OTROS,CLNA,Cliente,Factura,FREM9,10808,RM00010808,---,---,3000,PZA,3,MILL,0,0.3901,1170.24,0,187.2384,0,0,1357.4784,0.2044,613.3044,278.4458,835337.4,60,44239,44238,REM12
888,OTROS,OTROS,CLNA,Cliente,Factura,FREM9,10810,RM00010810,---,---,2016,PZA,0,,0,7.9,15926.4,0,2548.224,0,0,18474.624,6.9457,14002.5312,4.5259,9124.2144,60,44239,44238,REM12
888,OTROS,OTROS,CLNA,Cliente,Factura,FREM9,10809,RM00010809,---,---,3640,PZA,0,,0,7.9,28756,0,4600.96,0,0,33356.96,8.2132,29896.048,3.9342,14320.488,60,44239,44238,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM12,10495,RM00010495,---,---,100,PZA,0,,0,47.4,4740,0,758.4,0,0,5498.4,36.1071,3610.71,0,0,60,44239,44236,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM12,10115,RM00010115,---,---,300,PZA,0,,0,47.4,14220,0,2275.2,0,0,16495.2,30.3472,9104.16,26.5127,7953.81,60,44239,44236,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM11,10115,RM00010115,---,---,1000,PZA,0,,0,47.4,47400,0,7584,0,0,54984,30.3472,30347.2,26.5127,26512.7,60,44239,44236,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM10,10495,RM00010495,---,---,300,PZA,0,,0,47.4,14220,0,2275.2,0,0,16495.2,36.1071,10832.13,0,0,60,44239,44236,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM14,10115,RM00010115,---,---,1092,PZA,0,,0,47.4,51760.8,0,8281.728,0,0,60042.528,30.3472,33139.1424,26.5127,28951.8684,60,44239,44239,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM14,10495,RM00010495,---,---,28,PZA,0,,0,47.4,1327.2,0,212.352,0,0,1539.552,36.1071,1010.9988,0,0,60,44239,44239,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM13,10496,RM00010496,---,---,30267,PZA,0,,0,1.1434,34607.2878,0,5536.9317,0,0,40144.2195,0.6399,19367.8533,0.7023,21256.5141,60,44239,44236,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM13,10175,RM00010175,---,---,10000,PZA,10,MILL,0,0.1623,1622.7569,0,259.6411,0,0,1882.398,0.0849,849.2094,0.057,570,60,44239,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM18,10224,RM00010224,---,---,2496,PZA,0,,0,5.72,14277.12,0,2284.3392,0,0,16561.4592,1.1242,2806.0032,3.2788,8183.8848,60,44240,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM18,10283,RM00010283,---,---,4000,PZA,4,MILL,0,0.6401,2560.4,0,409.664,0,0,2970.064,0.2671,1068.3,0.1676,670.4,60,44240,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM18,10788,RM00010788,---,---,9800,PZA,0,,0,1.64,16072,0,2571.52,0,0,18643.52,1.0832,10615.36,0,0,60,44240,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM18,10173,RM00010173,---,---,10000,PZA,10,MILL,0,0.1848,1848,0,295.68,0,0,2143.68,0.0964,963.78,0.0614,614,60,44240,44236,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM19,10201,RM00010201,---,---,5000,PZA,5,MILL,0,0.7247,3623.5556,0,579.7689,0,0,4203.3245,0.4731,2365.657,0.248,1240,60,44240,44237,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM19,10861,RM00010861,---,---,5005,PZA,0,,0,5.4992,27523.496,0,4403.747,0,0,31927.243,2.6219,13122.6095,0,0,60,44240,44237,REM12
